,comparison,number_of_papers,number_of_contributions,number_of_resources,number_of_literals,number_of_predicates,number_of_related_resources,number_of_related_figures,research_field,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
322,,,,,,,,,,339.0,432.0,94.0,246.0,62.0,339.0,7.0
323,,,,,,,,,,698.0,1176.0,53.0,220.0,53.0,698.0,13.0
324,,,,,,,,,,113.0,145.0,19.0,81.0,19.0,113.0,20.0
325,,,,,,,,,,54.0,81.0,11.0,27.0,11.0,54.0,18.0
326,,,,,,,,,,21.0,24.0,3.0,18.0,3.0,21.0,7.0
327,,,,,,,,,,37.0,64.0,6.0,10.0,3.0,37.0,10.0
328,,,,,,,,,,499.0,710.0,43.0,288.0,40.0,499.0,47.0
329,,,,,,,,,,10.0,13.0,2.0,7.0,2.0,10.0,5.0
330,,,,,,,,,,23.0,45.0,3.0,1.0,1.0,23.0,6.0
331,,,,,,,,,,6.0,12.0,1.0,0.0,0.0,6.0,2.0
332,,,,,,,,,,41.0,79.0,7.0,3.0,2.0,41.0,8.0
333,,,,,,,,,,39.0,76.0,7.0,2.0,2.0,39.0,8.0
334,,,,,,,,,,32.0,52.0,4.0,12.0,4.0,32.0,8.0
335,,,,,,,,,,32.0,52.0,4.0,12.0,4.0,32.0,7.0
336,,,,,,,,,,60.0,111.0,9.0,9.0,9.0,60.0,5.0
337,,,,,,,,,,80.0,149.0,14.0,11.0,11.0,80.0,7.0
338,,,,,,,,,,78.0,105.0,12.0,51.0,7.0,78.0,23.0
339,,,,,,,,,,67.0,122.0,13.0,12.0,12.0,67.0,6.0
340,,,,,,,,,,59.0,74.0,12.0,44.0,11.0,59.0,5.0
341,,,,,,,,,,59.0,74.0,12.0,44.0,11.0,59.0,5.0
